Codigo_Item,Descripcion_Item
58550,"LAPAROSCOPÍA QUIRÚRGICA, HISTERECTOMÍA VAGINAL DE ÚTERO DE 250 GRAMOS O MENOR"
58552,"LAPAROSCOPÍA QUIRÚRGICA, HISTERECTOMÍA VAGINAL DE ÚTERO DE 250 GRAMOS O MENOR CON REMOCIÓN DE TROMPA(S) Y/O OVARIO(S)"
58553,"LAPAROSCOPÍA QUIRÚRGICA, HISTERECTOMÍA VAGINAL DE ÚTERO MAYOR DE 250 GRAMOS"
58554,"LAPAROSCOPÍA QUIRÚRGICA, HISTERECTOMÍA VAGINAL DE ÚTERO MAYOR DE 250 GRAMOS CON REMOCIÓN DE TROMPA(S) Y/O OVARIO(S)"
58555,HISTEROSCOPÍA DIAGNÓSTICA (PROCEDIMIENTO SEPARADO)
58558,"HISTEROSCOPÍA QUIRÚRGICA, MUESTREO (BIOPSIA) DE ENDOMETRIO Y/O POLIPECTOMÍA, CON O SIN DILATACIÓN Y CURETAJE"
58559,HISTEROSCOPÍA TERAPÉUTICA PARA LIBERACIÓN DE ADHERENCIAS INTRAUTERINAS (CUALQUIER MÉTODO)
58560,HISTEROSCOPÍA TERAPÉUTICA PARA RESECCIÓN DE SEPTUM INTRAUTERINO (CUALQUIER MÉTODO)
58561,HISTEROSCOPÍA TERAPÉUTICA PARA RESECCIÓN DE LEIOMIOMAS
58562,HISTEROSCOPÍA TERAPÉUTICA PARA RESECCIÓN DE CUERPO EXTRAÑO IMPACTADO
58563,CONO LEEP
58565,HISTEROSCOPÍA TERAPÉUTICA CON CANULACIÓN BILATERAL DE TROMPAS PARA INDUCIR LA OCLUSIÓN MEDIANTE LA COLOCACIÓN DE IMPLANTES PERMANENTES
58570,LAPAROSCOPÍA QUIRÚRGICA, HISTERECTOMÍA TOTAL DE ÚTERO DE 250 GRAMOS O MENOR
58571,LAPAROSCOPÍA QUIRÚRGICA, HISTERECTOMÍA TOTAL DE ÚTERO DE 250 GRAMOS O MENOR CON REMOCIÓN DE TROMPA(S) Y/O OVARIO(S)
58572,LAPAROSCOPÍA QUIRÚRGICA, HISTERECTOMÍA TOTAL DE ÚTERO MAYOR DE 250 GRAMOS
58573,LAPAROSCOPÍA QUIRÚRGICA, HISTERECTOMÍA TOTAL DE ÚTERO MAYOR DE 250 GRAMOS CON REMOCIÓN DE TROMPA(S) Y/O OVARIO(S)
58578,PROCEDIMIENTO LAPAROSCÓPICO EN UTERO NO LISTADO. EJEMPLO: HISTERECTOMIA TERAPEUTICA RESECCIÓN DE TABIQUE
58579,PROCEDIMIENTO HISTEROSCÓPICO EN ÚTERO NO LISTADO
58600,LIGADURA O SECCION DE TROMPAS DE FALOPIO
58605,LIGADURA O SECCIÓN DE TROMPA(S) DE FALOPIO, ABORDAJE ABDOMINAL O VAGINAL, POSTPARTO, UNILATERAL O BILATERAL, DURANTE LA MISMA HOSPITALIZACIÓN (PROCEDIMIENTO SEPARADO)
58611,LIGADURA O SECCIÓN DE TROMPA(S) DE FALOPIO, CUANDO SE REALIZA AL MISMO TIEMPO QUE LA CESÁREA O CIRUGÍA ABDOMINAL (NO COMO PROCEDIMIENTO SEPARADO) (REGISTRAR SEPARADAMENTE ADEMÁS DEL CÓDIGO PARA EL PROCEDIMIENTO PRIMARIO)
58615,OCLUSIÓN DE TROMPAS DE FALOPIO MEDIANTE DISPOSITIVO (P. EJ. BANDA, GRAPA, ANILLO FALOPIANO), ABORDAJE VAGINAL O SUPRAPÚBICO
58660,"LAPAROSCOPÍA QUIRÚRGICA, LISIS DE ADHERENCIAS (SALPINGOLISIS, OVARIOLISIS)"
58661,"LAPAROSCOPÍA QUIRÚRGICA, CON REMOCIÓN DE ESTRUCTURAS ANEXIALES (OOFORECTOMÍA Y/O SALPINGECTOMÍA, COMPLETA O PARCIAL)"
58662,"LAPAROSCOPÍA QUIRÚRGICA, FULGURACION O ESCICIÓN DE LESIONES DE OVARIOS, VÍSCERAS PÉLVICAS O SUPERFICIE PERITONEAL POR CUALQUIER MÉTODO"
58670,"LAPAROSCOPÍA QUIRÚRGICA, FULGURACIÓN DE TROMPAS (CON O SIN SECCIÓN)"
58671,"LAPAROSCOPÍA QUIRÚRGICA, CON OCLUSIÓN DE TROMPAS DE FALOPIO MEDIANTE DISPOSITIVO (P. EJ. BANDA, GRAPA, ANILLO FALOPIANO)"
58672,"LAPAROSCOPÍA QUIRÚRGICA, FIMBRIOPLASTÍA"
58673,"LAPAROSCOPÍA QUIRÚRGICA, SALPINGOSTOMÍA (SALPINGONEOSTOMÍA)"
58679,PROCEDIMIENTO LAPAROSCÓPICO EN OVIDUCTO, OVARIO NO LISTADO
58700,SALPINGECTOMÍA, COMPLETA O PARCIAL, UNILATERAL O BILATERAL (PROCEDIMIENTO SEPARADO)
58720,SALPINGO-OOFORECTOMÍA, COMPLETA O PARCIAL, UNILATERAL O BILATERAL (PROCEDIMIENTO SEPARADO)
58740,LISIS DE ADHERENCIAS (SALPINGOLISIS, OVARIOLISIS)
58750,ANASTOMOSIS TUBOTUBARIA
58752,IMPLANTACIÓN TUBOUTERINA
58760,FIMBRIOPLASTÍA
58770,SALPINGOSTOMÍA (SALPINGONEOSTOMÍA)
58800,"DRENAJE DE QUISTE(S) DE OVARIO, UNILATERAL O BILATERAL (PROCEDIMIENTO SEPARADO), ABORDAJE VAGINAL"
58805,"DRENAJE DE QUISTE(S) DE OVARIO, UNILATERAL O BILATERAL (PROCEDIMIENTO SEPARADO), ABORDAJE ABDOMINAL"
58820,"DRENAJE DE ABSCESO OVÁRICO, ABORDAJE VAGINAL, A CIELO ABIERTO"
58822,"DRENAJE DE ABSCESO OVÁRICO, ABORDAJE ABDOMINAL"
58823,DRENAJE DE ABSCESO PÉLVICO, ABORDAJE TRANSVAGINAL O TRANSRECTAL, PERCUTÁNEO
58825,TRANSPOSICIÓN DE OVARIOS
58900,BIOPSIA DE OVARIO, UNILATERAL O BILATERAL (PROCEDIMIENTO SEPARADO)
58920,RESECCIÓN EN CUÑA O BISECCIÓN DE OVARIO, UNILATERAL O BILATERAL
58925,CISTECTOMÍA OVÁRICA, UNILATERAL O BILATERAL
58940,OOFORECTOMÍA, PARCIAL O TOTAL, UNILATERAL O BILATERAL
58943,"OOFORECTOMÍA PARCIAL O TOTAL, UNILATERAL O BILATERAL, POR CÁNCER PERITONEAL PRIMARIO, TUBÁRICO U OVÁRICO, CON BIOPSIAS DE GANGLIOS LINFÁTICOS PARAAÓRTICOS, LAVADO PERITONEAL, BIOPSIAS DE PERITONEO, CON EVALUACIONES DIAFRAGMÁTICAS, CON O SIN SALPINGECTOMIA"
58950,RESECCIÓN (INICIAL) DE CÁNCER OVÁRICO, TUBARIO, O PERITONEAL PRIMARIO, CON SALPINGO-OOFORECTOMÍA BILATERAL Y OMENTECTOMÍA
58951,"RESECCIÓN (INICIAL) DE CÁNCER OVÁRICO, TUBARIO, O PERITONEAL PRIMARIO, CON SALPINGO-OOFORECTOMÍA BILATERAL Y OMENTECTOMÍA, CON HISTERECTOMÍA ABDOMINAL TOTAL Y LINFADENECTOMIA PÉLVICA Y PARAAÓRTICA LIMITADA"
58952,"RESECCIÓN (INICIAL) DE CÁNCER OVÁRICO, TUBARIO, O PERITONEAL PRIMARIO, CON SALPINGO-OOFORECTOMÍA BILATERAL Y OMENTECTOMÍA, CON DISECCIÓN RADICAL DE LA MÁSA TUMORAL PARA DISMINUIR SU VOLUMEN (P. EJ. EXCISION RADICAL O DESTRUCCIÓN, TUMORES INTRAABDOMINALES"
58953,SALPINGO-OOFORECTOMÍA BILATERAL Y OMENTECTOMÍA, CON HISTERECTOMÍA ABDOMINAL TOTAL Y EXCISION RADICAL DE LA MÁSA TUMORAL PARA DISMINUIR SU VOLÚMEN
58954,"SALPINGO-OOFORECTOMÍA BILATERAL Y OMENTECTOMÍA, CON HISTERECTOMÍA ABDOMINAL TOTAL Y EXCISION RADICAL DE LA MÁSA TUMORAL PARA DISMINUIR SU VOLÚMEN, CON LINFADENECTOMIA PÉLVICA Y LINFADENECTOMIA PARAAÓRTICA LIMITADA"
58956,SALPINGO-OOFORECTOMÍA BILATERAL Y OMENTECTOMÍA TOTAL, CON HISTERECTOMÍA ABDOMINAL TOTAL POR NEOPLASIA
58957,RESECCIÓN (REDUCCIÓN DE MASA TUMORAL) DE NEOPLASIA (TUMORES INTRA-ABDOMINALES O RETROPERITONEALES) RECURRENTE A NIVEL OVÁRICO, TUBARIO, PERITONEAL PRIMARIO, UTERINO, CON OMENTECTOMÍA, SI SE REALIZA
58958,"RESECCIÓN (REDUCCIÓN DE MASA TUMORAL) DE NEOPLASIA (TUMORES INTRA-ABDOMINALES O RETROPERITONEALES) RECURRENTE A NIVEL OVÁRICO, TUBARIO, PERITONEAL PRIMARIO, UTERINO, CON OMENTECTOMÍA, SI SE REALIZA, CON LINFADENECTOMÍA PÉLVICA Y LINFADENECTOMÍA PARA-AÓRTI"
58960,LAPAROTOMÍA PARA ESTADIAJE O REESTADIAJE DE CÁNCER OVÁRICO, TUBÁRICO O PERITONEAL PRIMARIO (SEGUNDA MIRADA), CON O SIN OMENTECTOMÍA, LAVADO PERITONEAL, BIOPSIAS DE PERITONEO ABDOMINAL Y PÉLVICO, CON EVALUACIONES DIAFRAGMÁTICAS Y LINFADENECTOMIA PÉLVICA Y
58970,PUNCIÓN FOLICULAR PARA OBTENCIÓN DE ÓVULO, POR CUALQUIER MÉTODO
58974,TRANSFERENCIA DE EMBRIÓN, INTRAUTERINA
58976,TRANSFERENCIA INTRAFALOPIANA DE GAMETO, ZIGOTO O EMBRIÓN, CUALQUIER MÉTODO
58999,PROCEDIMIENTO QUE NO APARECE EN LA LISTA, SISTEMA GENITAL FEMENINO (NO OBSTÉTRICO)
58999.01,TOMA DE MUESTRA DE SECRECIÓN VAGINAL
59000,AMNIOCENTESIS
59001,"AMNIOCENTESIS, REDUCCIÓN TERAPÉUTICA DE VOLUMEN DE LÍQUIDO AMNIÓTICO (INCLUYE GUÍA ULTRASONOGRÁFICA)"
59012,CORDOCENTESIS
59015,TOMA DE MUESTRA DE VELLOSIDADES CORIÓNICAS, CUALQUIER MÉTODO
59020,TEST DE ESTRES FETAL
59025,TEST NO ESTRESANTE
59030,TOMA DE MUESTRA SANGUÍNEA DE CUERO CABELLUDO DE FETO
59050,MONITOREO FETAL
59051,"MONITOREO FETAL DURANTE EL TRABAJO DE PARTO POR PARTE DE MÉDICO CONSULTOR (MÉDICO NO ENCARGADO), CON REPORTE ESCRITO, SOLAMENTE INTERPRETACIÓN"
59070,AMNIOINFUSION TRANSABDOMINAL
59072,OCLUSIÓN DEL CORDÓN UMBILICAL FETAL, INCLUYENDO GUÍA ECOGRÁFICA
59074,DRENAJE DE FLUIDO FETAL (P. EJ. VESICOCENTESIS, TORACOCENTESIS, PARACENTESIS) INCLUYENDO GUÍA ECOGRÁFICA
59076,COLOCACIÓN DE CORTOCIRCUITO FETAL, INCLUYENDO GUÍA ECOGRÁFICA
59100,HISTEROTOMÍA, ABDOMINAL (P. EJ. MOLA HIDATIFORME, ÓBITO)
59120,SALPINGUECTOMIA, ABORDAJE ABDOMINAL
59121,SALPINGOSTOMIA, ABORDAJE ABDOMINAL
59130,"TRATAMIENTO QUIRÚRGICO DEL EMBARAZO ECTÓPICO, EMBARAZO ABDOMINAL"
59135,"TRATAMIENTO QUIRÚRGICO DEL EMBARAZO ECTÓPICO, INTERSTICIAL, EMBARAZO UTERINO QUE REQUIERE HISTERECTOMÍA TOTAL"
59136,"TRATAMIENTO QUIRÚRGICO DEL EMBARAZO ECTÓPICO, INTERSTICIAL, EMBARAZO UTERINO CON RESECCIÓN PARCIAL DE UTERO"
59140,"TRATAMIENTO QUIRÚRGICO DEL EMBARAZO ECTÓPICO, CERVICAL, CON EVACUACIÓN"
59150,SALPINGOSTOMIA LAPAROSCOPICA
59151,SALPINGUECTOMIA LAPAROSCOPICA
59160,LEGRADO POST PARTO
59200,INSERCIÓN DE DILATADOR CERVICAL (P. EJ. LAMINARIA, PROSTAGLANDINA) (PROCEDIMIENTO SEPARADO)
59300,EPISIOTOMIA
59320,CERCLAJE DEL CÉRVIX, DURANTE EL EMBARAZO, A TRAVÉS DE ABORDAJE VAGINAL
59325,CERCLAJE DEL CÉRVIX, DURANTE EL EMBARAZO, A TRAVÉS DE ABORDAJE ABDOMINAL
59350,HISTERORRAFIA DE RUPTURA UTERINA
59351,ANEXECTOMIA
59400,ATENCION DEL PARTO DE ALTO RIESGO
59401,ATENCIÓN PRENATAL
59401.01,ATENCIÓN PRENATAL (PRIMERA ATENCIÓN)
59401.02,ATENCIÓN PRENATAL (ATENCIONES POSTERIORES)
59401.03,SUPLEMENTACIÓN DE ÁCIDO FÓLICO (HASTA LAS 13 SEMANAS)
59401.04,SUPLEMENTACIÓN DE SULFATO FERROSO (A PARTIR DE LAS 14 SEMANAS)
59401.05,SUPLEMENTACIÓN DE CALCIO
59409,PARTO VAGINAL
59410,ATENCIÓN DE PARTO VAGINAL (UNICAMENTE) (CON O SIN EPISIOTOMÍA), INCLUYENDO ATENCIÓN POSTPARTO
59412,VERSIÓN CEFÁLICA EXTERNA, CON O SIN TOCÓLISIS
59414,EXTRACCION MANUAL DE PLACENTA
59425,ATENCION PRENATAL
59426,"ATENCIÓN PRENATAL (UNICAMENTE), 7 A MÁS VISITAS"
59430,CONTROL DE PUERPERIO
59510,ATENCIÓN OBSTÉTRICA DE RUTINA INCLUYENDO ATENCIÓN PREPARTO, PARTO POR CESÁREA Y ATENCIÓN POSTPARTO
59514,CESAREA
59515,CESÁREA, INCLUYENDO ATENCIÓN POSTPARTO
59525,CESÁREA MÁS HISTERECTOMÍA SUBTOTAL O TOTAL (REGISTRAR SEPARADAMENTE ADEMÁS DEL CÓDIGO PARA EL PROCEDIMIENTO PRIMARIO)
59610,ATENCIÓN OBSTÉTRICA DE RUTINA INCLUYENDO ATENCIÓN PREPARTO, PARTO VAGINAL (CON O SIN EPISIOTOMÍA) Y ATENCIÓN POSTPARTO, A UNA PACIENTE QUE PREVIAMENTE TUVO UN PARTO POR CESÁREA
59612,PARTO VAGINAL (SOLAMENTE), DESPUÉS DE CESÁREA PREVIA (CON O SIN EPISIOTOMÍA)
59614,"PARTO VAGINAL (SOLAMENTE), DESPUÉS DE CESÁREA PREVIA (CON O SIN EPISIOTOMÍA), INCLUYENDO EL CUIDADO POSTPARTO"
59618,ATENCIÓN OBSTÉTRICA DE RUTINA INCLUYENDO ATENCIÓN PREPARTO, PARTO POR CESÁREA Y ATENCIÓN POSTPARTO, POSTERIOR A INTENTO DE PARTO VAGINAL LUEGO DE CESÁREA PREVIA
59620,CESÁREA (SOLAMENTE), DESPUÉS DE HABER INTENTADO UN PARTO VAGINAL EN UNA PACIENTE QUE PREVIAMENTE TUVO UN PARTO POR CESÁREA
59622,"CESÁREA (SOLAMENTE), DESPUÉS DE HABER INTENTADO UN PARTO VAGINAL EN UNA PACIENTE QUE PREVIAMENTE TUVO UN PARTO POR CESÁREA, INCLUYENDO EL CUIDADO POSTPARTO"
59812,TRATAMIENTO DE ABORTO INCOMPLETO, COMPLETADO QUIRÚRGICAMENTE
59813,ASPIRACION MANUAL ENDOUTERINA (AMEU)
59820,TRATAMIENTO DE ABORTO FRUSTRO, COMPLETADO QUIRÚRGICAMENTE, PRIMER TRIMESTRE
59821,TRATAMIENTO DE ABORTO FRUSTRO, COMPLETADO QUIRÚRGICAMENTE, SEGUNDO TRIMESTRE
59830,TRATAMIENTO DE ABORTO SÉPTICO, COMPLETADO QUIRÚRGICAMENTE
59840,ABORTO INDUCIDO (TERAPÉUTICO), POR DILATACIÓN Y CURETAJE
59841,ABORTO INDUCIDO (TERAPÉUTICO), POR DILATACIÓN Y EVACUACIÓN
59850,ABORTO INDUCIDO (TERAPÉUTICO), MEDIANTE 1 O MÁS INYECCIONES INTRA-AMNIÓTICAS (AMNIOCENTESIS-INYECCIONES), INCLUYENDO HOSPITALIZACIÓN, RETIRO DEL FETO Y DE LAS MEMBRANAS
59851,"ABORTO INDUCIDO (TERAPÉUTICO), MEDIANTE 1 O MÁS INYECCIONES INTRA-AMNIÓTICAS (AMNIOCENTESIS-INYECCIONES), INCLUYENDO HOSPITALIZACIÓN, RETIRO DEL FETO Y DE LAS MEMBRANAS, CON DILATACIÓN Y CURETAJE Y/O EVACUACIÓN"
59852,"ABORTO INDUCIDO (TERAPÉUTICO), MEDIANTE 1 O MÁS INYECCIONES INTRA-AMNIÓTICAS (AMNIOCENTESIS-INYECCIONES), INCLUYENDO HOSPITALIZACIÓN, RETIRO DEL FETO Y DE LAS MEMBRANAS, CON HISTEROTOMÍA (INYECCIÓN INTRA-AMNIÓTICA FALLIDA)"
59855,ABORTO INDUCIDO (TERAPÉUTICO), MEDIANTE 1 O MÁS SUPOSITORIOS VAGINALES (EJEMPLO: PROSTAGLANDINA) CON O SIN DILATACIÓN CERVICAL (EJEMPLO: LAMINARIA), INCLUYENDO HOSPITALIZACIÓN, RETIRO DEL FETO Y DE LAS MEMBRANAS
59856,"ABORTO INDUCIDO (TERAPÉUTICO), MEDIANTE 1 O MÁS SUPOSITORIOS VAGINALES (EJEMPLO: PROSTAGLANDINA) CON O SIN DILATACIÓN CERVICAL (EJEMPLO: LAMINARIA), INCLUYENDO HOSPITALIZACIÓN, RETIRO DEL FETO Y DE LAS MEMBRANAS, CON DILATACIÓN Y CURETAJE Y/O EVACUACIÓN"
59857,"ABORTO INDUCIDO (TERAPÉUTICO), MEDIANTE 1 O MÁS SUPOSITORIOS VAGINALES (EJEMPLO: PROSTAGLANDINA) CON O SIN DILATACIÓN CERVICAL (EJEMPLO: LAMINARIA), INCLUYENDO HOSPITALIZACIÓN, RETIRO DEL FETO Y DE LAS MEMBRANAS, CON HISTEROTOMÍA (EVACUACIÓN MÉDICA FALLID"
59866,REDUCCIÓN DE EMBARAZO MULTIFETAL (MPR)
59870,EVACUACIÓN UTERINA Y CURETAJE POR MOLA HIDATIFORME
59871,REMOCIÓN DE SUTURA DE CERCLAJE BAJO ANESTESIA (QUE NO SEA ANESTESIA LOCAL)
59872,EVACUACIÓN UTERINA DE ÓBITO FETAL + LEGRADO UTERINO
59897,PROCEDIMIENTO FETAL INVASIVO NO LISTADO, INCLUYENDO GUÍA ECOGRÁFICA, CUANDO SE REALICE
59898,PROCEDIMIENTO LAPAROSCÓPICO NO LISTADO, RELACIONADO AL PARTO Y CUIDADO PRENATAL
59899,REVERSION UTERINO MANUAL
60000,INCISIÓN Y DRENAJE DE QUISTE TIROGLOSO, INFECTADO
60001,ASPIRACIÓN DE QUISTE TIROIDEO
60100,BIOPSIA DE TIROIDES PERCUTANEA
60200,ESCICIÓN DE QUISTE O ADENOMA DE TIROIDES, O TRANSECCIÓN DEL ISTMO
60210,"LOBECTOMÍA TIROIDEA PARCIAL, UNILATERAL, CON O SIN ISTMOSECTOMÍA"
60212,"LOBECTOMÍA TIROIDEA PARCIAL, UNILATERAL, CON LOBECTOMÍA CONTRALATERAL SUBTOTAL, INCLUYENDO ISTMOSECTOMIA"
60220,LOBECTOMÍA TIROIDEA TOTAL, UNILATERAL CON O SIN ISTMOSECTOMÍA
60225,"LOBECTOMÍA TIROIDEA TOTAL, UNILATERAL, CON LOBECTOMÍA SUBTOTAL CONTRALATERAL, INCLUYENDO ISTMOSECTOMÍA"
60240,TIROIDECTOMÍA, TOTAL O COMPLETA
60252,"TIROIDECTOMÍA, TOTAL O SUBTOTAL POR MALIGNIDAD, CON DISECCIÓN CONSERVADORA DEL CUELLO"
60254,"TIROIDECTOMÍA, TOTAL O SUBTOTAL POR MALIGNIDAD, CON DISECCIÓN RADICAL DEL CUELLO"
60260,TIROIDECTOMÍA, REMOCIÓN DE TODO EL TEJIDO TIROIDE REMANENTE LUEGO DE UNA REMOCIÓN PREVIA DE UNA PORCIÓN DE TIROIDES
60270,TIROIDECTOMÍA, INCLUYENDO EL TIROIDES SUBSTERNAL, CON ABORDAJE ESTERNAL O TRANSTORÁCICO
60271,TIROIDECTOMÍA, INCLUYENDO EL TIROIDES SUBSTERNAL, CON ABORDAJE CERVICAL
60280,ESCICIÓN DE QUISTE O FÍSTULA DEL CONDUCTO TIROGLOSO
60281,ESCICIÓN DE QUISTE O FÍSTULA DEL CONDUCTO TIROGLOSO, RECURRENTE
60300,ASPIRACIÓN O INYECCIÓN DE QUISTE TIROGLOSO
60500,PARATIROIDECTOMÍA O EXPLORACIÓN DE PARATIROIDES
60502,"PARATIROIDECTOMÍA O EXPLORACIÓN DE PARATIROIDES, REEXPLORACIÓN"
60505,PARATIROIDECTOMÍA O EXPLORACIÓN DE PARATIROIDES, CON EXPLORACIÓN MEDIASTINAL MEDIANTE ABORDAJE ESTERNAL O TRANSTORÁICO
60512,AUTOTRASPLANTE DE PARATIROIDES (REGISTRAR POR SEPARADO ADICIONALMENTE AL CÓDIGO DEL PROCEDIMIENTO PRIMARIO)
60520,"TIMECTOMÍA, PARCIAL O TOTAL, ABORDAJE TRANSCERVICAL (PROCEDIMIENTO SEPARADO)"
60520.01,TIMECTOMIA RADICAL POR ESTERNOTOMIA MEDIA
60520.02,TIMECTOMIA RADICAL POR VIDEOTORACOSCOPIA
60520.03,TIMECTOMIA POR ACCESO CERVICAL
60521,"TIMECTOMÍA, PARCIAL O TOTAL, ABORDAJE ESTERNAL O TRANSTORÁCICO, SIN DISECCIÓN MEDIASTINAL RADICAL (PROCEDIMIENTO SEPARADO)"
60522,"TIMECTOMÍA, PARCIAL O TOTAL, ABORDAJE ESTERNAL O TRANSTORÁCICO, CON DISECCIÓN MEDIASTINAL RADICAL (PROCEDIMIENTO SEPARADO)"
60540,ADRENALECTOMÍA, PARCIAL O COMPLETA, O EXPLORACIÓN DE GLÁNDULA ADRENAL CON O SIN BIOPSIA, TRANSABDOMINAL, LUMBAR O DORSAL (PROCEDIMIENTO SEPARADO)
60545,"ADRENALECTOMÍA, PARCIAL O COMPLETA, O EXPLORACIÓN DE GLÁNDULA ADRENAL CON O SIN BIOPSIA, TRANSABDOMINAL, LUMBAR O DORSAL (PROCEDIMIENTO SEPARADO), CON ESCICIÓN DE TUMOR RETROPERITONEAL ADYACENTE"
60600,"ESCICIÓN DE TUMOR DEL CUERPO CAROTÍDEO, SIN ESCICIÓN DE ARTERIA CARÓTIDA"
60605,ESCICIÓN DE TUMOR DE CUERPO CAROTÍDEO CON ESCICIÓN DE ARTERIA CARÓTIDA
60650,LAPAROSCOPÍA QUIRÚRGICA, CON ADRENALECTOMÍA, PARCIAL O COMPLETA, O EXPLORACIÓN DE GLANDULA ADRENAL CON O SIN BIOPSIA, TRANSABDOMINAL, LUMBAR O DORSAL
60659,PROCEDIMIENTO LAPAROSCÓPICO EN SISTEMA ENDOCRINO NO LISTADO
60699,PROCEDIMIENTO EN SISTEMA ENDOCRINO NO LISTADO
61000,PUNCIÓN EVACUADORA SUBDURAL A TRAVÉS DE LA FONTANELA O SUTURA EN LACTANTE, UNILATERAL O BILATERAL, INICIAL
61001,PUNCIÓN EVACUADORA SUBDURAL A TRAVÉS DE LA FONTANELA O SUTURA EN LACTANTE, UNILATERAL O BILATERAL, SUBSIGUIENTES
61020,PUNCION VENTRICULAR
61021,PUNCIÓN VENTRICULAR PARA DRENAJE VENTRICULAR EXTERNO (TOMA DE MUESTRA LCR)
61026,PUNCIÓN VENTRICULAR A TRAVÉS DE AGUJERO DE TRÉPANO PREVIO, FONTANELA, SUTURA O CATÉTER/RESERVORIO IMPLANTADO EN VENTRÍCULO, CON INYECCIÓN DE MÉDICAMENTO U OTRA SUSTANCIA PARA DIAGNÓSTICO O TRATAMIENTO
61050,PUNCIÓN CISTERNAL O CERVICAL LATERAL (C1-C2) SIN INYECCIÓN (PROCEDIMIENTO SEPARADO)
61055,PUNCIÓN CISTERNAL O CERVICAL LATERAL (C1-C2) CON INYECCIÓN DE MEDICACIÓN U OTRA SUSTANCIA PARA DIAGNÓSTICO O TRATAMIENTO (P. EJ. C1-C2)
61070,PUNCIÓN DE TUBO DE DERIVACIÓN O RESERVORIO PARA ASPIRACIÓN O PROCEDIMIENTO DE INYECCIÓN
61105,PERFORACIÓN CON TRÉPANO HELICOIDAL PARA PUNCIÓN SUBDURAL O VENTRICULAR
61107,TREPANACION PARA IMPLANTAR CATETER
61108,TREPANACIÓN(ES) HELICOIDAL(ES) PARA PUNCIÓN SUBDURAL, INTRACEREBRAL O VENTRICULAR, PARA EVACUACIÓN Y/O DRENAJE DE HEMATOMA SUBDURAL
61120,AGUJEROS DE TRÉPANO PARA PUNCIÓN VENTRICULAR (INCLUYENDO INYECCIÓN DE GAS, MEDIOS DE CONTRASTE, COLORANTE O MATERIAL RADIOACTIVO)
61140,"AGUJERO(S) DE TRÉPANO, CON BIOPSIA DE CEREBRO O DE LESIÓN INTRACRANEANA"
61150,AGUJERO(S) DE TRÉPANO CON DRENAJE DE ABSCESO O QUISTE CEREBRAL
61151,AGUJERO(S) DE TRÉPANO CON ASPIRACIÓN PROGRESIVA DE UN ABSCESO O QUISTE INTRACRANIAL
61154,AGUJERO(S) DE TRÉPANO CON EVACUACIÓN Y/O DRENAJE DE HEMATOMA, EXTRADURAL O SUBDURAL
61156,AGUJERO(S) DE TRÉPANO CON EVACUACIÓN Y/O DRENAJE DE HEMATOMA O QUISTE INTRACEREBRAL
61210,AGUJERO(S) DE TRÉPANO PARA IMPLANTACIÓN DE CATÉTER VENTRICULAR, RESERVORIO, ELECTRODO(S) DE EEG, DISPOSITIVO PARA GRABACIÓN DE PRESIÓN U OTRO DISPOSITIVO DE MONITOREO INTRACEREBRAL (PROCEDIMIENTO SEPARADO)
61215,INSERCIÓN DE RESERVORIO SUBCUTÁNEO, BOMBA O SISTEMA DE INFUSIÓN CONTINUA PARA CONECTAR CON UN CATÉTER VENTRICULAR
61250,AGUJERO(S) DE TRÉPANO PARA EXPLORACIÓN, SUPRATENTORIAL O INFRATENTORIAL, NO SEGUIDO DE OTRA CIRUGÍA
61253,AGUJERO(S) DE TRÉPANO, INFRATENTORIAL, UNILATERAL O BILATERAL
61254,CATETERISMO CEREBRAL INTRAVENTRICULAR PARA MEDIR LA PRESIÓN INTRACEREBRAL
61255,CATETERISMO CEREBRAL PARENQUIMAL PARA MEDIR LA PRESIÓN INTRACEREBRAL
61257,CATETERISMO CEREBRAL PARA MEDIR LA PRESIÓN DE PERFUSIÓN Y PRESIÓN INTRACEREBRAL
61258,CATETERISMO PARA MEDIR SATURACIÓN DEL BULBO YUGULAR
61259,MONITOREO DE LA OXIMETRÍA CEREBRAL
61259.01,MONITOREO DE LA SEDACIÓN CON INDICE BIESPECTRAL (BIS)
61260,CATETERISMO CEREBRAL SUBDURAL PARA MEDIR LA PRESION INTRACRANEAL
61261,PUNCION DE TUBO DE DERIVACION O RESERVORIO PARA ASPIRACION O PROCEDIMIENTO DE INYECCION
61304,CRANEOTOMÍA O CRANIECTOMÍA EXPLORATORIA SUPRATENTORIAL
61305,CRANIECTOMÍA O CRANEOTOMÍA, EXPLORATORIA, INFRATENTORIAL (FOSA POSTERIOR)
61310,EVACUACION DE HEMETOMAS EPIDURALES
61312,CRANIECTOMIA O CRANEOTOMIA PARA EVACUACION DE HEMATOMA SUPRATENTORIAL, EXTRADURAL O SUBDURAL
61313,"CRANIECTOMÍA O CRANEOTOMÍA PARA EVACUACIÓN DE HEMATOMA SUPRATENTORIAL, INTRACEREBRAL"
61314,"CRANIECTOMÍA O CRANEOTOMÍA PARA EVACUACIÓN DE HEMATOMA INFRATENTORIAL, EXTRADURAL O SUBDURAL"
61315,"CRANIECTOMÍA O CRANEOTOMÍA PARA EVACUACIÓN DE HEMATOMA INFRATENTORIAL, INTRACEREBELAR"
